1.844642,2.315086,1.947676,2.044490,2.152825,2.063123,2.049226,2.118083
2.165157,1.909709,2.128252,1.995720,2.031395,2.096297,2.221945,1.728711
2.084446,2.207762,1.887111,1.963228,1.772177,1.982305,2.442012,2.194812
2.016480,2.111344,2.105472,1.422760,2.112921,2.029731,1.816539,1.715059
1.657524,1.948050,1.937903,1.829789,1.909832,1.978557,2.172902,1.782012
2.321009,2.022701,1.896573,2.172327,2.007556,2.236605,2.212994,1.684021
2.286247,2.049022,1.958328,2.119251,1.845903,1.906673,2.205298,1.889256
2.262769,1.903011,1.994021,2.210640,1.712346,1.998871,2.005947,1.799157
2.029661,1.872087,1.965130,2.191517,2.011927,1.715813,2.152967,2.317504
2.021761,1.982649,2.356454,1.875229,1.846261,2.111943,2.043522,1.760370
2.060057,2.075577,1.729586,2.217113,1.904911,2.023699,2.199544,1.970391
2.128294,1.743302,2.031877,2.002112,1.988375,2.218903,1.792648,1.809559
2.100233,2.078685,1.821044,1.458191,2.165607,2.332321,2.048803,1.794776
2.070756,2.221259,2.269761,1.952663,2.067499,1.721015,1.871753,2.002717
2.193485,1.832617,2.175244,1.604641,1.922719,2.187898,2.042009,2.047544
2.031643,2.231978,1.986392,2.273659,2.152939,2.074645,1.308626,1.905749
2.458071,2.165152,1.996735,2.122482,1.954263,1.913283,2.005658,1.781209
1.999909,1.923527,1.780044,1.673510,2.353334,2.427155,2.261161,1.830721
1.925220,1.922823,1.971696,1.730785,1.684911,1.589405,2.317785,2.120363
2.305038,1.763797,2.305786,1.935533,1.960016,2.012904,1.547453,1.963623
2.125389,2.231025,1.891007,2.275686,1.940021,2.198602,1.934597,2.158600
2.029081,2.227498,1.977258,2.003558,1.965424,2.441381,1.955137,1.972528
1.798677,2.188232,2.165904,2.055472,2.206631,1.745842,1.808518,2.408847
1.927040,1.916665,2.015822,2.123607,1.995663,1.705496,2.118927,2.298170
2.301188,1.825501,2.178166,2.165351,2.146872,2.088935,2.121141,2.244139
1.872349,2.114387,2.126903,1.925043,1.825425,2.516781,1.855580,1.843596
2.350460,1.961950,2.009791,2.120627,2.109799,1.953262,2.209441,2.415861
2.084247,2.068092,1.957817,1.827932,1.987035,1.855579,2.056164,1.937225
1.801796,2.039324,2.482379,2.188909,2.102635,2.117084,1.920196,2.055220
2.105210,1.697839,2.057537,2.020296,1.895318,2.391090,1.768254,2.111622
1.954718,2.107019,2.215555,2.316742,2.235467,2.115890,2.309510,1.883673
2.153104,2.007914,2.233862,1.802368,1.931894,1.984452,2.202757,2.096183
2.459706,2.076146,1.819052,2.126830,2.047143,1.773306,1.973372,1.774663
1.796715,1.770726,1.515407,1.566442,1.933415,1.978457,2.125403,1.844141
2.089735,2.100741,1.884630,2.161527,2.266439,2.359066,1.946469,2.288755
1.725915,2.158132,1.688215,2.152478,2.175373,1.984806,1.869486,2.051147
1.966691,2.124759,2.156723,1.856630,1.844841,2.299527,2.060477,1.995903
2.129807,1.865719,2.115303,1.564862,1.730733,2.185800,2.057996,1.991821
1.802089,2.086164,2.192851,1.982466,2.172591,1.949771,1.899817,1.900271
2.125487,1.879866,1.952050,2.161920,2.390328,1.841300,2.162435,1.841900
1.882084,1.781498,2.000816,2.308673,1.935142,2.284315,1.688479,1.920896
1.781042,1.846495,1.860836,2.046454,2.180644,1.824420,1.870662,1.965672
1.817294,1.802097,1.926230,1.945981,2.231382,2.154219,1.800884,1.943611
